product_name,overall_rating,no_ratings,no_reviews,rating,brand
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,2,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,2,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,4,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,3,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,5,dell
"dell inspiron 15 with backlit keyboard, intel core i5 12th gen...",4.2,1103,66,1,dell
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
